"Schema","Criterion","DataGenerator","Doubler","Termination","BigOh"
"UnixUsage","UCC","directedRandom","DoubleTables","timeout","QUADRADIC"
"NistWeather","ClauseAICC","directedRandom","DoubleNotNullsSemantic","success","LINEARITHMIC"
"JWhoisServer","ClauseAICC","directedRandomDefaults","DoubleChecksSemantic","success","LOGARITHMIC"
"BioSQL","AUCC","directedRandom","DoubleColumns","success","QUADRADIC"
"RiskIt","NCC","randomDefaults","DoubleColumns","out of memory","QUADRADIC"
"RiskIt","APC","randomDefaults","DoubleTables","timeout","QUADRADIC"
"Cloc","UCC","random","DoubleForeignKeys","success","CONSTANT"
"Cloc","AUCC","randomDefaults","DoubleUniquesSemantic","success","CONSTANT"
"NistXTS749","NCC","directedRandom","DoubleForeignKeys","KILLED","INSUFFICENT DATA"
"NistXTS748","CondAICC","directedRandom","DoubleAll","success","LOGARITHMIC"
"Cloc","UCC","randomDefaults","DoubleNotNulls","success","CONSTANT"
"UnixUsage","CondAICC","avs","DoubleTablesColumns","success","LOGARITHMIC"
"JWhoisServer","ICC","avs","DoubleUniquesSemantic","success","LOGARITHMIC"
"iTrust","AUCC","random","DoubleForeignKeys","KILLED","INSUFFICENT DATA"
"NistXTS749","CondAICC","directedRandomDefaults","DoubleChecksSemantic","success","LINEAR"
"RiskIt","ClauseAICC","randomDefaults","DoubleTablesColumns","timeout","QUADRADIC"
"Cloc","NCC","avsDefaults","DoubleUniquesSemantic","success","LOGARITHMIC"
"NistXTS748","AUCC","directedRandomDefaults","DoubleForeignKeys","success","LOGARITHMIC"
"NistXTS748","ClauseAICC","directedRandomDefaults","DoubleNotNullsSemantic","success","LINEARITHMIC"
"NistXTS749","APC","directedRandom","DoubleNotNullsSemantic","success","LINEARITHMIC"
"NistXTS748","ICC","directedRandomDefaults","DoubleForeignKeys","success","LOGARITHMIC"
"JWhoisServer","ICC","randomDefaults","DoubleForeignKeys","success","LINEARITHMIC"
"JWhoisServer","ClauseAICC","avsDefaults","DoubleTablesColumns","timeout","QUADRADIC"
"NistXTS748","AICC","directedRandom","DoubleNotNullsSemantic","success","LOGARITHMIC"
"BioSQL","NCC","avs","DoubleUniquesSemantic","success","LINEARITHMIC"
"UnixUsage","AUCC","directedRandom","DoubleNotNulls","success","LOGARITHMIC"
"BioSQL","AUCC","directedRandomDefaults","DoubleForeignKeys","KILLED","INSUFFICENT DATA"
"JWhoisServer","UCC","directedRandom","DoubleTables","timeout","QUADRADIC"
"Cloc","AUCC","directedRandom","DoubleNotNullsSemantic","success","CONSTANT"
"Cloc","AICC","random","DoubleAll","success","LOGARITHMIC"
"JWhoisServer","ICC","avsDefaults","DoubleChecksSemantic","success","LOGARITHMIC"
"NistXTS748","UCC","random","DoubleColumns","out of memory","CUBIC"
"Cloc","NCC","avsDefaults","DoubleTables","success","QUADRADIC"
"BioSQL","AUCC","directedRandom","DoubleChecksSemantic","success","CONSTANT"
"Cloc","APC","random","DoubleNotNullsSemantic","success","CONSTANT"
"NistWeather","ClauseAICC","directedRandom","DoubleNotNulls","success","CONSTANT"
"NistXTS748","AUCC","directedRandom","DoubleColumns","out of memory","CUBIC"
"NistXTS748","AUCC","directedRandom","DoubleTablesColumns","success","LOGARITHMIC"
"NistXTS748","ClauseAICC","directedRandomDefaults","DoubleColumns","success","LINEARITHMIC"
"BioSQL","APC","directedRandom","DoubleForeignKeys","KILLED","INSUFFICENT DATA"
"RiskIt","CondAICC","random","DoubleUniquesSemantic","success","CONSTANT"
"RiskIt","AUCC","directedRandomDefaults","DoubleChecksSemantic","success","LOGARITHMIC"
"NistWeather","APC","randomDefaults","DoubleChecksSemantic","success","LINEAR"
"JWhoisServer","ANCC","randomDefaults","DoubleColumns","out of memory","QUADRADIC"
"iTrust","UCC","avs","DoubleAll","success","LINEAR"
"iTrust","APC","directedRandomDefaults","DoubleNotNulls","success","CONSTANT"
"RiskIt","ICC","avs","DoubleNotNulls","success","CONSTANT"
"iTrust","APC","directedRandomDefaults","DoubleChecksSemantic","success","LINEARITHMIC"
"NistXTS749","ICC","avs","DoubleColumns","timeout","POWER 7"
"RiskIt","ICC","avs","DoubleColumns","success","LINEARITHMIC"
"BioSQL","ClauseAICC","avs","DoubleUniquesSemantic","success","LINEAR"
"UnixUsage","ICC","directedRandom","DoubleChecksSemantic","success","LOGARITHMIC"
"NistXTS749","ICC","avs","DoubleNotNullsSemantic","success","LINEARITHMIC"
"NistXTS749","ICC","directedRandom","DoubleChecksSemantic","success","LOGARITHMIC"
"UnixUsage","AICC","avsDefaults","DoubleAll","success","LINEARITHMIC"
"BioSQL","APC","randomDefaults","DoubleTables","timeout","POWER 4"
"JWhoisServer","NCC","directedRandomDefaults","DoubleNotNulls","success","CONSTANT"
"BioSQL","ANCC","random","DoubleUniquesSemantic","out of memory","LINEARITHMIC"
"Cloc","ICC","randomDefaults","DoubleChecksSemantic","success","CONSTANT"
"iTrust","AUCC","directedRandom","DoubleForeignKeys","KILLED","INSUFFICENT DATA"
"iTrust","CondAICC","directedRandom","DoubleTablesColumns","timeout","QUADRADIC"
"BioSQL","APC","directedRandom","DoubleTablesColumns","timeout","QUADRADIC"
"Cloc","NCC","avs","DoubleTables","timeout","QUADRADIC"
"BioSQL","ANCC","randomDefaults","DoubleTables","timeout","POWER 5"
"iTrust","UCC","directedRandom","DoubleNotNulls","success","LOGARITHMIC"
"NistWeather","APC","randomDefaults","DoubleNotNullsSemantic","success","LOGARITHMIC"
"BioSQL","UCC","avs","DoubleChecksSemantic","success","CONSTANT"
"JWhoisServer","APC","randomDefaults","DoubleNotNullsSemantic","success","LINEARITHMIC"
"JWhoisServer","AICC","directedRandomDefaults","DoubleTablesColumns","timeout","QUADRADIC"
"NistWeather","AUCC","directedRandom","DoubleUniquesSemantic","success","CONSTANT"
"RiskIt","ClauseAICC","avsDefaults","DoubleAll","success","LINEAR"
"Cloc","ANCC","random","DoubleUniquesSemantic","success","LOGARITHMIC"
"NistXTS749","AICC","directedRandom","DoubleNotNulls","success","LOGARITHMIC"
"iTrust","ClauseAICC","avsDefaults","DoubleUniquesSemantic","success","CONSTANT"
"BioSQL","APC","avsDefaults","DoubleForeignKeys","KILLED","INSUFFICENT DATA"
"JWhoisServer","AUCC","randomDefaults","DoubleUniquesSemantic","success","LOGARITHMIC"
"NistXTS749","UCC","directedRandom","DoubleNotNulls","success","LOGARITHMIC"
"JWhoisServer","ICC","randomDefaults","DoubleUniquesSemantic","success","CONSTANT"
"Cloc","APC","directedRandom","DoubleChecksSemantic","success","CONSTANT"
"RiskIt","ClauseAICC","directedRandom","DoubleForeignKeys","KILLED","INSUFFICENT DATA"
"NistXTS749","AUCC","random","DoubleForeignKeys","KILLED","INSUFFICENT DATA"
"JWhoisServer","CondAICC","avs","DoubleUniquesSemantic","success","CONSTANT"
"NistXTS748","CondAICC","random","DoubleChecksSemantic","success","LINEAR"
"Cloc","NCC","directedRandom","DoubleChecksSemantic","success","LOGARITHMIC"
"iTrust","NCC","randomDefaults","DoubleUniquesSemantic","success","CONSTANT"
"NistWeather","APC","random","DoubleTables","timeout","CUBIC"
"iTrust","AICC","random","DoubleNotNulls","success","CONSTANT"
"BioSQL","AUCC","randomDefaults","DoubleUniquesSemantic","timeout","QUADRADIC"
"JWhoisServer","APC","directedRandom","DoubleChecksSemantic","success","CONSTANT"
"JWhoisServer","CondAICC","directedRandomDefaults","DoubleUniquesSemantic","success","LINEARITHMIC"
"NistXTS748","AICC","avs","DoubleColumns","success","LINEARITHMIC"
"UnixUsage","UCC","random","DoubleTablesColumns","success","LINEARITHMIC"
"Cloc","CondAICC","directedRandomDefaults","DoubleChecksSemantic","success","CONSTANT"
"UnixUsage","NCC","directedRandom","DoubleAll","timeout","POWER 4"
"BioSQL","CondAICC","randomDefaults","DoubleNotNulls","success","CONSTANT"
"NistXTS749","NCC","avs","DoubleTablesColumns","success","LOGARITHMIC"
"NistXTS748","ClauseAICC","directedRandom","DoubleForeignKeys","success","CONSTANT"
"BioSQL","ClauseAICC","avs","DoubleChecksSemantic","success","CONSTANT"
"RiskIt","ICC","avsDefaults","DoubleTables","timeout","QUADRADIC"
"BioSQL","NCC","randomDefaults","DoubleColumns","out of memory","QUADRADIC"
"NistXTS749","ClauseAICC","avs","DoubleColumns","success","LINEARITHMIC"
"RiskIt","ICC","random","DoubleUniquesSemantic","success","CONSTANT"
"UnixUsage","ClauseAICC","avsDefaults","DoubleForeignKeys","KILLED","INSUFFICENT DATA"
"JWhoisServer","ANCC","directedRandom","DoubleColumns","out of memory","QUADRADIC"
"Cloc","ICC","avs","DoubleForeignKeys","success","CONSTANT"
"NistXTS749","ClauseAICC","directedRandomDefaults","DoubleUniquesSemantic","success","CONSTANT"
"BioSQL","ClauseAICC","directedRandomDefaults","DoubleAll","success","LINEAR"
"NistXTS749","ClauseAICC","avsDefaults","DoubleTables","success","QUADRADIC"
"NistWeather","ClauseAICC","directedRandomDefaults","DoubleNotNullsSemantic","success","LINEARITHMIC"
"Cloc","APC","avs","DoubleForeignKeys","success","CONSTANT"
"NistXTS748","AUCC","avs","DoubleNotNulls","success","LOGARITHMIC"
"Cloc","AUCC","directedRandom","DoubleTablesColumns","success","LINEAR"
"iTrust","APC","directedRandom","DoubleTablesColumns","timeout","QUADRADIC"
"UnixUsage","APC","directedRandom","DoubleChecksSemantic","success","CONSTANT"
"NistWeather","CondAICC","avs","DoubleNotNulls","success","CONSTANT"
"iTrust","NCC","directedRandomDefaults","DoubleAll","timeout","QUADRADIC"
"BioSQL","ANCC","avsDefaults","DoubleNotNullsSemantic","success","LINEARITHMIC"
"iTrust","ANCC","randomDefaults","DoubleNotNulls","success","CONSTANT"
"JWhoisServer","AICC","random","DoubleAll","success","LINEARITHMIC"
"BioSQL","NCC","directedRandomDefaults","DoubleNotNulls","success","CONSTANT"
"NistWeather","ANCC","avsDefaults","DoubleColumns","timeout","CUBIC"
"NistXTS748","AICC","avsDefaults","DoubleNotNulls","success","LOGARITHMIC"
"NistXTS748","CondAICC","random","DoubleAll","success","LINEARITHMIC"
"UnixUsage","ClauseAICC","avs","DoubleTables","success","LOGARITHMIC"
"NistXTS748","AICC","avs","DoubleNotNullsSemantic","success","LOGARITHMIC"
"Cloc","AUCC","randomDefaults","DoubleAll","success","LOGARITHMIC"
"iTrust","ClauseAICC","avsDefaults","DoubleChecksSemantic","success","LINEAR"
"NistWeather","CondAICC","avs","DoubleColumns","success","LINEARITHMIC"
"NistWeather","AUCC","directedRandomDefaults","DoubleUniquesSemantic","success","LOGARITHMIC"
"BioSQL","CondAICC","avs","DoubleAll","success","LINEAR"
"BioSQL","ClauseAICC","random","DoubleAll","success","LINEAR"
"BioSQL","ICC","avs","DoubleForeignKeys","KILLED","INSUFFICENT DATA"
"iTrust","NCC","avsDefaults","DoubleTablesColumns","success","LINEARITHMIC"
"UnixUsage","NCC","avs","DoubleNotNulls","success","CONSTANT"
"Cloc","UCC","randomDefaults","DoubleColumns","out of memory","QUADRADIC"
"BioSQL","AICC","directedRandom","DoubleColumns","success","LINEARITHMIC"
"NistXTS749","CondAICC","random","DoubleTables","timeout","CUBIC"
"Cloc","AICC","avsDefaults","DoubleAll","success","LINEARITHMIC"
"UnixUsage","UCC","avsDefaults","DoubleChecksSemantic","success","CONSTANT"
"NistWeather","UCC","directedRandomDefaults","DoubleAll","success","LOGARITHMIC"
"NistXTS748","CondAICC","randomDefaults","DoubleAll","success","LINEARITHMIC"
"JWhoisServer","CondAICC","directedRandomDefaults","DoubleColumns","success","LINEARITHMIC"
"BioSQL","NCC","random","DoubleTables","timeout","POWER 5"
"NistWeather","APC","avs","DoubleChecksSemantic","success","LINEARITHMIC"
"BioSQL","AUCC","avsDefaults","DoubleChecksSemantic","success","CONSTANT"
"BioSQL","NCC","directedRandomDefaults","DoubleAll","success","QUADRADIC"
"NistWeather","AUCC","randomDefaults","DoubleTables","timeout","QUADRADIC"
"iTrust","UCC","random","DoubleNotNullsSemantic","success","LINEARITHMIC"
"UnixUsage","ICC","avsDefaults","DoubleChecksSemantic","success","CONSTANT"
"UnixUsage","ANCC","directedRandomDefaults","DoubleNotNulls","success","CONSTANT"
"Cloc","APC","directedRandomDefaults","DoubleNotNulls","success","CONSTANT"
"iTrust","NCC","avsDefaults","DoubleAll","timeout","QUADRADIC"
"JWhoisServer","NCC","randomDefaults","DoubleTables","timeout","QUADRADIC"
"NistWeather","AICC","avs","DoubleColumns","timeout","QUADRADIC"
"NistXTS749","UCC","directedRandomDefaults","DoubleForeignKeys","KILLED","INSUFFICENT DATA"
"NistXTS749","UCC","randomDefaults","DoubleForeignKeys","KILLED","INSUFFICENT DATA"
"NistXTS748","CondAICC","randomDefaults","DoubleColumns","success","LINEARITHMIC"
"NistXTS749","NCC","avs","DoubleChecksSemantic","success","LINEAR"
"BioSQL","ANCC","directedRandomDefaults","DoubleForeignKeys","KILLED","INSUFFICENT DATA"
"JWhoisServer","ICC","randomDefaults","DoubleAll","timeout","QUADRADIC"
"NistXTS748","AUCC","avs","DoubleUniquesSemantic","success","LINEARITHMIC"
"NistXTS748","APC","avs","DoubleUniquesSemantic","success","LOGARITHMIC"
"JWhoisServer","ClauseAICC","directedRandomDefaults","DoubleForeignKeys","success","CONSTANT"
"JWhoisServer","NCC","avs","DoubleNotNullsSemantic","success","LINEARITHMIC"
"iTrust","ICC","directedRandom","DoubleForeignKeys","KILLED","INSUFFICENT DATA"
"RiskIt","AICC","directedRandomDefaults","DoubleNotNulls","success","CONSTANT"
"JWhoisServer","CondAICC","avsDefaults","DoubleChecksSemantic","success","LOGARITHMIC"
"NistXTS749","CondAICC","avs","DoubleChecksSemantic","success","LINEAR"
"BioSQL","NCC","random","DoubleUniquesSemantic","success","LINEARITHMIC"
"JWhoisServer","ANCC","directedRandom","DoubleForeignKeys","success","CONSTANT"
"iTrust","APC","randomDefaults","DoubleAll","success","LINEAR"
"BioSQL","ANCC","random","DoubleAll","success","LINEARITHMIC"
"Cloc","ClauseAICC","random","DoubleAll","success","LOGARITHMIC"
"JWhoisServer","AICC","avs","DoubleChecksSemantic","success","CONSTANT"
"iTrust","ANCC","avsDefaults","DoubleChecksSemantic","KILLED","LINEARITHMIC"
"NistXTS748","APC","directedRandom","DoubleColumns","success","LINEARITHMIC"
"NistXTS748","CondAICC","directedRandom","DoubleChecksSemantic","success","LOGARITHMIC"
"NistXTS748","ANCC","randomDefaults","DoubleNotNullsSemantic","success","LINEAR"
"Cloc","APC","avsDefaults","DoubleNotNullsSemantic","success","CONSTANT"
"NistWeather","ClauseAICC","avsDefaults","DoubleNotNulls","success","LOGARITHMIC"
"UnixUsage","ANCC","directedRandomDefaults","DoubleAll","success","LINEARITHMIC"
"BioSQL","AUCC","avsDefaults","DoubleAll","success","LINEAR"
"RiskIt","AUCC","randomDefaults","DoubleColumns","timeout","QUADRADIC"
"NistXTS748","CondAICC","avs","DoubleTablesColumns","success","LOGARITHMIC"
"NistXTS748","AUCC","randomDefaults","DoubleUniquesSemantic","success","LINEARITHMIC"
"Cloc","AUCC","avsDefaults","DoubleNotNullsSemantic","success","LOGARITHMIC"
"NistXTS749","CondAICC","avsDefaults","DoubleTablesColumns","timeout","QUADRADIC"
"NistXTS748","AICC","random","DoubleColumns","success","LINEAR"
"NistXTS748","ANCC","avs","DoubleChecksSemantic","success","LINEARITHMIC"
"BioSQL","AUCC","randomDefaults","DoubleAll","success","LINEAR"
"NistWeather","NCC","directedRandomDefaults","DoubleForeignKeys","KILLED","INSUFFICENT DATA"
"iTrust","NCC","avsDefaults","DoubleUniquesSemantic","success","CONSTANT"
"UnixUsage","CondAICC","randomDefaults","DoubleColumns","success","LINEAR"
"NistXTS749","ANCC","directedRandomDefaults","DoubleAll","success","LOGARITHMIC"
"UnixUsage","APC","random","DoubleNotNullsSemantic","success","LINEARITHMIC"
"iTrust","ANCC","directedRandomDefaults","DoubleChecksSemantic","success","LINEAR"
"JWhoisServer","ICC","directedRandom","DoubleUniquesSemantic","success","LOGARITHMIC"
"iTrust","ICC","randomDefaults","DoubleColumns","success","LINEARITHMIC"
"iTrust","ICC","random","DoubleChecksSemantic","success","LINEARITHMIC"
"UnixUsage","NCC","avs","DoubleColumns","timeout","CUBIC"
"RiskIt","ICC","random","DoubleNotNulls","success","LOGARITHMIC"
"RiskIt","CondAICC","directedRandom","DoubleUniquesSemantic","success","CONSTANT"
"RiskIt","AICC","avsDefaults","DoubleAll","timeout","QUADRADIC"
"iTrust","ClauseAICC","random","DoubleChecksSemantic","success","LINEAR"
"Cloc","ClauseAICC","directedRandomDefaults","DoubleAll","success","LOGARITHMIC"
"NistWeather","AICC","directedRandom","DoubleNotNullsSemantic","success","LINEAR"
"NistWeather","APC","directedRandomDefaults","DoubleColumns","success","LINEARITHMIC"
"Cloc","AUCC","directedRandomDefaults","DoubleNotNulls","success","LOGARITHMIC"
"NistXTS749","ICC","avs","DoubleChecksSemantic","success","LINEAR"
"NistXTS748","APC","directedRandom","DoubleNotNullsSemantic","success","LOGARITHMIC"
"RiskIt","NCC","random","DoubleChecksSemantic","success","CONSTANT"
"Cloc","CondAICC","randomDefaults","DoubleTables","success","LINEARITHMIC"
"NistWeather","NCC","directedRandomDefaults","DoubleTablesColumns","success","LINEARITHMIC"
"BioSQL","APC","avs","DoubleNotNullsSemantic","success","LINEAR"
"BioSQL","APC","avsDefaults","DoubleTables","timeout","POWER 6"
"JWhoisServer","CondAICC","randomDefaults","DoubleForeignKeys","success","LOGARITHMIC"
"UnixUsage","ANCC","directedRandom","DoubleAll","timeout","CUBIC"
"BioSQL","ANCC","avs","DoubleAll","success","LINEARITHMIC"
"RiskIt","AICC","directedRandom","DoubleNotNulls","success","LOGARITHMIC"
"RiskIt","UCC","directedRandom","DoubleForeignKeys","KILLED","INSUFFICENT DATA"
"NistXTS748","ClauseAICC","directedRandomDefaults","DoubleNotNulls","success","CONSTANT"
"Cloc","AICC","directedRandomDefaults","DoubleForeignKeys","success","CONSTANT"
"JWhoisServer","APC","directedRandomDefaults","DoubleTablesColumns","success","LINEARITHMIC"
"NistXTS748","CondAICC","avsDefaults","DoubleChecksSemantic","success","CONSTANT"
"NistXTS748","NCC","avs","DoubleColumns","success","QUADRADIC"
"NistXTS748","AUCC","directedRandom","DoubleAll","timeout","QUADRADIC"
"NistXTS748","ClauseAICC","directedRandom","DoubleTables","timeout","QUADRADIC"
"UnixUsage","UCC","avsDefaults","DoubleNotNullsSemantic","success","LINEARITHMIC"
"RiskIt","ClauseAICC","random","DoubleForeignKeys","KILLED","INSUFFICENT DATA"
"BioSQL","ICC","random","DoubleTables","timeout","QUADRADIC"
"NistXTS749","AUCC","avs","DoubleUniquesSemantic","success","LOGARITHMIC"
"iTrust","AUCC","avs","DoubleChecksSemantic","out of memory","QUADRADIC"
"NistWeather","ANCC","directedRandom","DoubleUniquesSemantic","success","LOGARITHMIC"
"NistXTS749","ANCC","directedRandom","DoubleNotNullsSemantic","success","LINEAR"
"JWhoisServer","ICC","directedRandomDefaults","DoubleForeignKeys","success","LOGARITHMIC"
"Cloc","ClauseAICC","directedRandomDefaults","DoubleColumns","success","LINEARITHMIC"
"JWhoisServer","NCC","avsDefaults","DoubleUniquesSemantic","success","LOGARITHMIC"
"BioSQL","ClauseAICC","directedRandom","DoubleColumns","success","LINEARITHMIC"
"BioSQL","APC","directedRandomDefaults","DoubleTablesColumns","timeout","QUADRADIC"
"NistXTS749","AUCC","randomDefaults","DoubleNotNulls","success","CONSTANT"
"JWhoisServer","ClauseAICC","random","DoubleColumns","timeout","LINEARITHMIC"
"RiskIt","ICC","directedRandomDefaults","DoubleChecksSemantic","success","CONSTANT"
"JWhoisServer","AUCC","avsDefaults","DoubleAll","success","LINEAR"
"NistWeather","ICC","directedRandom","DoubleTablesColumns","success","LINEARITHMIC"
"BioSQL","AICC","randomDefaults","DoubleColumns","success","LINEAR"
"BioSQL","AICC","randomDefaults","DoubleNotNullsSemantic","success","LINEARITHMIC"
"JWhoisServer","ICC","random","DoubleForeignKeys","success","CONSTANT"
"RiskIt","AICC","directedRandomDefaults","DoubleTablesColumns","timeout","QUADRADIC"
"Cloc","UCC","randomDefaults","DoubleNotNullsSemantic","success","LOGARITHMIC"
"JWhoisServer","AUCC","directedRandom","DoubleColumns","out of memory","LINEARITHMIC"
"NistXTS749","UCC","avs","DoubleTables","timeout","QUADRADIC"
"NistWeather","CondAICC","directedRandomDefaults","DoubleChecksSemantic","success","LINEAR"
"BioSQL","AUCC","random","DoubleNotNulls","success","CONSTANT"
"BioSQL","NCC","avs","DoubleChecksSemantic","success","CONSTANT"
"UnixUsage","APC","avsDefaults","DoubleChecksSemantic","success","LOGARITHMIC"
"Cloc","UCC","randomDefaults","DoubleAll","success","CONSTANT"
"NistWeather","NCC","avs","DoubleTablesColumns","success","LINEARITHMIC"
"JWhoisServer","AUCC","avs","DoubleColumns","timeout","CUBIC"
"NistWeather","AUCC","avs","DoubleAll","success","LINEARITHMIC"
"JWhoisServer","UCC","directedRandomDefaults","DoubleColumns","out of memory","LINEARITHMIC"
"RiskIt","ICC","avs","DoubleTablesColumns","timeout","QUADRADIC"
"NistWeather","APC","directedRandom","DoubleForeignKeys","KILLED","INSUFFICENT DATA"
"JWhoisServer","ClauseAICC","directedRandom","DoubleTablesColumns","timeout","QUADRADIC"
"RiskIt","AICC","directedRandomDefaults","DoubleForeignKeys","KILLED","INSUFFICENT DATA"
